city,city_zh,city_en,year,pm25_mean_ug_m3,valid_grid_cells,grid_cell_count,source_product,source_version,spatial_method
Dubai,迪拜,Dubai,2019,34.5408,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dubai,迪拜,Dubai,2020,38.9671,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dubai,迪拜,Dubai,2021,42.802,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dubai,迪拜,Dubai,2022,38.7167,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dubai,迪拜,Dubai,2023,34.6217,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dubai,迪拜,Dubai,2024,35.2717,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dublin,都柏林,Dublin,2015,8.1505,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dublin,都柏林,Dublin,2016,8.5821,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dublin,都柏林,Dublin,2017,7.5733,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dublin,都柏林,Dublin,2018,8.1999,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dublin,都柏林,Dublin,2019,8.6967,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dublin,都柏林,Dublin,2020,7.8611,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dublin,都柏林,Dublin,2021,8.0539,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dublin,都柏林,Dublin,2022,7.7825,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dublin,都柏林,Dublin,2023,7.3456,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dublin,都柏林,Dublin,2024,7.687,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Fuzhou,福州,Fuzhou,2015,28.8583,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Fuzhou,福州,Fuzhou,2016,25.2323,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Fuzhou,福州,Fuzhou,2017,27.019,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Fuzhou,福州,Fuzhou,2018,24.0969,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Fuzhou,福州,Fuzhou,2019,22.8875,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Fuzhou,福州,Fuzhou,2020,19.9492,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Fuzhou,福州,Fuzhou,2021,21.1189,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Fuzhou,福州,Fuzhou,2022,19.4775,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Fuzhou,福州,Fuzhou,2023,20.9892,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Fuzhou,福州,Fuzhou,2024,21.5826,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Genhe,根河,Genhe,2015,18.694,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Genhe,根河,Genhe,2016,15.1166,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Genhe,根河,Genhe,2017,11.7102,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Genhe,根河,Genhe,2018,12.0423,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Genhe,根河,Genhe,2019,12.6748,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Genhe,根河,Genhe,2020,11.8296,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Genhe,根河,Genhe,2021,12.5959,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Genhe,根河,Genhe,2022,12.3234,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Genhe,根河,Genhe,2023,14.9859,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Genhe,根河,Genhe,2024,19.1216,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Guangzhou,广州,Guangzhou,2015,39.0474,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Guangzhou,广州,Guangzhou,2016,36.1151,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Guangzhou,广州,Guangzhou,2017,37.9835,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Guangzhou,广州,Guangzhou,2018,35.4395,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Guangzhou,广州,Guangzhou,2019,33.8656,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Guangzhou,广州,Guangzhou,2020,26.8732,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Guangzhou,广州,Guangzhou,2021,27.6264,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
